[240.0, 112.0, 957.0, 650.0]
[176.0, 96.0, 894.0, 634.0]
[128.0, 96.0, 847.0, 635.0]
[176.0, 112.0, 896.0, 652.0]
[112.0, 112.0, 833.0, 653.0]
[208.0, 112.0, 930.0, 654.0]
[272.0, 112.0, 995.0, 654.0]
[96.0, 112.0, 820.0, 655.0]
[96.0, 96.0, 821.0, 640.0]
[160.0, 80.0, 886.0, 624.0]
[224.0, 96.0, 951.0, 641.0]
[160.0, 96.0, 888.0, 642.0]
[144.0, 80.0, 873.0, 627.0]
[160.0, 112.0, 890.0, 660.0]
[160.0, 80.0, 891.0, 628.0]
[192.0, 80.0, 924.0, 629.0]
[96.0, 112.0, 829.0, 662.0]
[48.0, 64.0, 782.0, 614.0]
[48.0, 96.0, 783.0, 647.0]
[32.0, 80.0, 768.0, 632.0]
[64.0, 128.0, 801.0, 681.0]
[160.0, 96.0, 898.0, 650.0]
[96.0, 112.0, 835.0, 666.0]
[160.0, 128.0, 900.0, 683.0]
[224.0, 96.0, 965.0, 652.0]
[160.0, 80.0, 902.0, 636.0]
[80.0, 64.0, 823.0, 621.0]
[112.0, 112.0, 856.0, 670.0]
[256.0, 96.0, 1001.0, 655.0]
[32.0, 96.0, 778.0, 656.0]
[208.0, 80.0, 955.0, 640.0]
[224.0, 80.0, 972.0, 641.0]
[64.0, 96.0, 813.0, 658.0]
[16.0, 80.0, 766.0, 642.0]
[128.0, 96.0, 879.0, 659.0]
[176.0, 64.0, 928.0, 628.0]
[96.0, 80.0, 849.0, 645.0]
[160.0, 112.0, 914.0, 678.0]
[64.0, 96.0, 819.0, 662.0]
[192.0, 96.0, 948.0, 663.0]
[128.0, 80.0, 885.0, 648.0]
[224.0, 80.0, 982.0, 648.0]
[224.0, 64.0, 983.0, 633.0]
[160.0, 80.0, 920.0, 650.0]
[32.0, 80.0, 793.0, 651.0]
[256.0, 80.0, 1018.0, 652.0]
[80.0, 80.0, 843.0, 652.0]
[32.0, 96.0, 796.0, 669.0]
[16.0, 96.0, 781.0, 670.0]
[208.0, 48.0, 974.0, 622.0]
[32.0, 96.0, 799.0, 671.0]
[224.0, 80.0, 992.0, 656.0]
[224.0, 80.0, 993.0, 657.0]
[0.0, 96.0, 770.0, 674.0]
[160.0, 48.0, 931.0, 626.0]
[224.0, 64.0, 996.0, 643.0]
[16.0, 96.0, 789.0, 676.0]
[208.0, 80.0, 982.0, 660.0]
[192.0, 80.0, 967.0, 661.0]
[224.0, 80.0, 1000.0, 662.0]
[144.0, 80.0, 921.0, 663.0]
[224.0, 96.0, 1002.0, 680.0]
[64.0, 96.0, 843.0, 680.0]
[208.0, 48.0, 988.0, 633.0]
[96.0, 64.0, 877.0, 650.0]
[64.0, 96.0, 846.0, 682.0]
[144.0, 96.0, 927.0, 683.0]
[128.0, 80.0, 912.0, 668.0]
[192.0, 64.0, 977.0, 653.0]
[96.0, 80.0, 882.0, 670.0]
[0.0, 48.0, 787.0, 638.0]
[96.0, 80.0, 884.0, 671.0]
[144.0, 32.0, 933.0, 624.0]
[112.0, 48.0, 902.0, 640.0]
[144.0, 32.0, 935.0, 625.0]
[128.0, 16.0, 920.0, 610.0]
[128.0, 48.0, 921.0, 643.0]
[64.0, 64.0, 858.0, 660.0]
[96.0, 80.0, 891.0, 676.0]
[192.0, 16.0, 988.0, 613.0]
[128.0, 80.0, 925.0, 678.0]
[192.0, 48.0, 990.0, 646.0]
[96.0, 16.0, 895.0, 615.0]
[176.0, 16.0, 976.0, 616.0]
[0.0, 48.0, 801.0, 649.0]
[112.0, 16.0, 914.0, 618.0]
[32.0, 32.0, 835.0, 634.0]
[192.0, 48.0, 996.0, 651.0]
[144.0, 48.0, 949.0, 652.0]
[144.0, 32.0, 950.0, 636.0]
[112.0, 64.0, 919.0, 669.0]
[16.0, 64.0, 824.0, 670.0]
[96.0, 16.0, 905.0, 623.0]
[112.0, 16.0, 922.0, 624.0]
[160.0, 32.0, 971.0, 640.0]
[48.0, 64.0, 860.0, 673.0]
[32.0, 64.0, 845.0, 674.0]
[48.0, 16.0, 862.0, 626.0]
[96.0, 64.0, 911.0, 675.0]
[80.0, 0.0, 896.0, 612.0]
[64.0, 48.0, 881.0, 661.0]
[80.0, 64.0, 898.0, 678.0]
[160.0, 0.0, 979.0, 614.0]
[112.0, 32.0, 932.0, 647.0]
[160.0, 0.0, 981.0, 616.0]
[48.0, 48.0, 870.0, 664.0]
[192.0, 32.0, 1015.0, 649.0]
[16.0, 64.0, 840.0, 682.0]
[176.0, 48.0, 1001.0, 667.0]
[0.0, 16.0, 826.0, 636.0]
[128.0, 0.0, 955.0, 620.0]
[96.0, 32.0, 924.0, 653.0]
[0.0, 48.0, 829.0, 670.0]
[80.0, 16.0, 910.0, 638.0]
[128.0, 48.0, 959.0, 671.0]
[0.0, 16.0, 832.0, 640.0]
[160.0, 16.0, 993.0, 641.0]
[32.0, 0.0, 866.0, 626.0]
[96.0, 16.0, 931.0, 642.0]
[160.0, 0.0, 996.0, 627.0]
[128.0, 16.0, 965.0, 644.0]
[144.0, 32.0, 982.0, 660.0]
[16.0, 0.0, 855.0, 629.0]
[96.0, 0.0, 936.0, 630.0]
[128.0, 16.0, 969.0, 647.0]
[32.0, 0.0, 874.0, 632.0]
[48.0, 48.0, 891.0, 680.0]
[32.0, 48.0, 876.0, 681.0]
[32.0, 0.0, 877.0, 634.0]
[160.0, 32.0, 1006.0, 666.0]
[144.0, 16.0, 991.0, 651.0]
[112.0, 0.0, 960.0, 636.0]
[160.0, 32.0, 1009.0, 669.0]
[144.0, 16.0, 994.0, 654.0]
[112.0, 0.0, 963.0, 638.0]
[128.0, 16.0, 980.0, 655.0]
[112.0, 32.0, 965.0, 672.0]
[160.0, 0.0, 1014.0, 640.0]
[64.0, 32.0, 919.0, 673.0]
[160.0, 16.0, 1016.0, 658.0]
[96.0, 16.0, 953.0, 659.0]
[160.0, 0.0, 1018.0, 644.0]
[80.0, 0.0, 939.0, 644.0]
[144.0, 32.0, 1004.0, 677.0]
[96.0, 0.0, 957.0, 646.0]
[64.0, 32.0, 926.0, 678.0]
[160.0, 16.0, 1023.0, 663.0]
[80.0, 0.0, 944.0, 648.0]
[80.0, 0.0, 945.0, 649.0]
[112.0, 0.0, 978.0, 650.0]
[128.0, 0.0, 995.0, 650.0]
[112.0, 16.0, 980.0, 667.0]
[96.0, 0.0, 965.0, 652.0]
[32.0, 16.0, 902.0, 668.0]
[80.0, 16.0, 951.0, 669.0]
